"512x512(H,W)",FWD,BWD,Total,,,,,,,
no-checkpoint,0.5746438503,0.06998085976,0.6472816467,,,,,,,
seq-checkpoint,0.5801200867,0.07385659218,0.6566059589,,,,,,,
1x1(num of tiles),0.5884747505,0.07837057114,0.6695230007,,,,,10K,,
2x2,0.6013810635,0.1198222637,0.7238786221,,,,,4.857660055,11.9934597,18.08773756
4x4,0.6577570438,0.245098114,0.9058179855,,,,,,,
8x8,0.853502512,0.6058733463,1.462064505,,,,,20K,,
16x16,1.546346188,2.131197453,3.680549145,,,,,17.97336555,50.8862133,73.80981994
,,,,,,,,,,
1024x1024,,,,,,,,,,
no-checkpoint,0.5836913586,0.09114384651,0.6851108074,,,,,,,
seq-checkpoint,0.5803804398,0.1009349823,0.6916062832,,,,,,,
1x1,0.5966141224,0.1009132862,0.7097527981,,,,,,,
2x2,0.6243391037,0.1776218414,0.8123364449,,,,,,,
4x4,0.7126145363,0.3406932354,1.06568718,,,,,,,
8x8,0.9426472187,0.8748414516,1.829812765,,,,,,,
16x16,1.860978127,2.893550634,4.767009974,,,,,,,
,,,,,,,,,,
2048x2048,,,,,,,,,,
no-checkpoint,0.6457047462,0.1678676605,0.8624839783,,,,,,,
seq-checkpoint,0.6174821854,0.1898255348,0.8562300205,,,,,,,
1x1,0.6364395618,0.2333943844,0.9204003811,,,,,,,
2x2,0.662763834,0.2956533432,1.009096384,,,,,,,
4x4,0.7947890759,0.566136837,1.41271472,,,,,,,
8x8,1.11237216,1.333297729,2.496442795,,,,,,,
16x16,2.139326811,3.745726109,5.936132908,,,,,,,
,,,,,,,,,,
3072x3072,,,,,,,,,,
no-checkpoint,0.6960659027,0.2448425293,1.051781893,,,,,,,
seq-checkpoint,0.6790480614,0.3077816963,1.107306957,,,,,,,
1x1,0.7025823593,0.4243166447,1.240892172,,,,,,,
2x2,0.7637786865,0.5446519852,1.422631502,,,,,,,
4x4,0.8851020336,0.8673169613,1.865652084,,,,,,,
8x8,1.255088329,1.758271694,3.126536846,,,,,,,
16x16,2.410180092,4.580986023,7.104859591,,,,,,,
,,,,,,,,,,
4096x4096,,,,,,,,,,
no-checkpoint,0.7769277096,0.4910476208,1.465431213,,,,,,,
seq-checkpoint,0.7702651024,0.5564556122,1.717615366,,,,,,,
1x1,OOM,,,,,,,,,
2x2,0.8819489479,0.8893508911,1.970521927,,,,,,,
4x4,1.003396988,1.173062086,2.375651121,,,,,,,
8x8,1.406309128,2.289780855,3.895600319,,,,,,,
16x16,2.70277071,5.486549854,8.388708353,,,,,,,
,,,,,,,,,,
5120x5120,,,,,,,,,,
no-checkpoint,Out of Mem,,,,,,,,,
seq-checkpoint,Out of Mem,,,,,,,,,
1x1,Out of Mem,,,,,,,,,
2x2,0.9958925247,1.244300365,2.550526381,,,,,,,
4x4,1.184260845,1.686087847,3.17966485,,,,,,,
8x8,1.63219142,2.856379509,4.798420191,,,,,,,
16x16,3.018260241,6.398348093,9.728504181,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6140x6140,,,,,,,,,,
no-checkpoint,Out of Mem,,,,,,,,,
seq-checkpoint,Out of Mem,,,,,,,,,
1x1,Out of Mem,,,,,,,,,
2x2,Out of Mem,,,,,,,,,
4x4,1.355790615,2.217926979,4.019633532,,,,,,,
8x8,1.842868567,3.535196543,5.82378006,,,,,,,
16x16,3.266858578,7.26543951,10.97725725,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7168x7168,,,,,,,,,,
no-checkpoint,Out of Mem,,,,,,,,,
seq-checkpoint,Out of Mem,,,,,,,,,
1x1,Out of Mem,,,,,,,,,
2x2,Out of Mem,,,,,,,,,
4x4,1.541656494,2.784015656,4.936841965,,,,,,,
8x8,2.048734903,3.996746063,6.655611515,,,,,,,
16x16,3.598959684,8.454174995,12.662992,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
8192x8192,,,,,,,,,,
no-checkpoint,Out of Mem,,,,,,,,,
seq-checkpoint,Out of Mem,,,,,,,,,
1x1,Out of Mem,,,,,,,,,
2x2,Out of Mem,,,,,,,,,
4x4,1.762326479,3.650318861,6.205901384,,,,,,,
8x8,2.32194829,4.867720127,7.983397484,,,,,,,
16x16,3.955734253,9.492648363,14.24891496,,,,,,,
