"512x512(H,W)",FWD,BWD,Total,,,,,,,
no-checkpoint,0.928235054,0.09470891953,1.026432037,,,,,,,
seq-checkpoint,0.9288344383,0.1031227112,1.035440207,,,,,10K(16x16),,
1x1(num of tiles),0.9209082127,0.1105971336,1.034331322,,,,,11.11935544,31.47661543,43.83902717
2x2,0.9337308407,0.1843657494,1.120766878,,,,,,,
4x4,1.052819729,0.3389019966,1.394823074,,,,,20K(32x32),,
8x8,1.301101208,0.9529833794,2.256879807,,,,,42.6557796,128.9081175,176.4822736
16x16,2.254295349,3.176681519,5.43369031,,,,,,,
,,,,,,,,,,
1024x1024,,,,,,,,,,
no-checkpoint,0.9813294411,0.1781506538,1.172025681,,,,,,,
seq-checkpoint,0.9641194344,0.21413517,1.191088676,,,,,,,
1x1,0.9511373043,0.2902710438,1.253436089,,,,,,,
2x2,1.030503273,0.3269665241,1.369661331,,,,,,,
4x4,1.117218018,0.5994710922,1.728688478,,,,,,,
8x8,1.47174859,1.448544979,2.932452679,,,,,,,
16x16,2.615315199,4.30458045,6.932006359,,,,,,,
,,,,,,,,,,
2048x2048,,,,,,,,,,
no-checkpoint,Out of Mem,,,,,,,,,
seq-checkpoint,1.071429968,0.5765619278,1.699931145,,,,,,,
1x1,OOM,,,,,,,,,
2x2,1.15048337,1.007329464,2.20744586,,,,,,,
4x4,1.315879345,1.323585272,2.689154863,,,,,,,
8x8,1.900254726,2.534614086,4.484554529,,,,,,,
16x16,3.299077511,6.231676102,9.580563068,,,,,,,
,,,,,,,,,,
3072x3072,,,,,,,,,,
no-checkpoint,Out of Mem,,,,,,,,,
seq-checkpoint,Out of Mem,,,,,,,,,
1x1,Out of Mem,,,,,,,,,
2x2,OOM,,,,,,,,,
4x4,1.655381918,2.475027084,4.240954399,,,,,,,
8x8,2.247038841,3.921019077,6.279044628,,,,,,,
16x16,3.972024679,8.256830454,12.33990908,,,,,,,
,,,,,,,,,,
4096x4096,,,,,,,,,,
no-checkpoint,Out of Mem,,,,,,,,,
seq-checkpoint,Out of Mem,,,,,,,,,
1x1,Out of Mem,,,,,,,,,
2x2,OOM,,,,,,,,,
4x4,OOM,,,,,,,,,
8x8,2.759823322,5.462467194,8.418319702,,,,,,,
16x16,4.954747915,10.5916996,15.93702459,,,,,,,
