"512x512(H,W)",FWD,BWD,Total,,,,,,,,
no-checkpoint,1.997677565,0.5501224995,2.551599026,,,,,,,,
seq-checkpoint,2.005573034,0.5512332916,2.560646772,,,,,,10K(16x16),,
1x1(num of tiles),2.051223516,0.628111124,2.683573723,,,,,,4.929614544,21.15732217,27.95197582
2x2,2.066743612,0.6718957424,2.742967844,,,,,,,,
4x4,2.111086845,0.8990895748,3.014992237,,,,,,20K(32x32),,
8x8,2.410259247,1.555771351,3.969827175,,,,,,14.13989925,84.33333516,105.8853509
16x16,3.443678141,4.02637291,7.473822832,,,,,,,,
,,,,,,,,,,,
1024x1024,,,,,,,,,,,
no-checkpoint,2.004879713,0.5756149292,2.598782778,,,,,,,,
seq-checkpoint,2.020931244,0.5773866177,2.616629601,,,,,,,,
1x1,2.03587389,0.7415299416,2.795951366,,,,,,,,
2x2,2.055312157,0.7979927063,2.867873192,,,,,,,,
4x4,2.111915588,1.053448677,3.183652401,,,,,,,,
8x8,2.36872983,1.750942945,4.13800621,,,,,,,,
16x16,3.085405827,4.551414251,7.655098438,,,,,,,,
,,,,,,,,,,,
2048x2048,,,,,,,,,,,
no-checkpoint,2.110129833,0.6414551735,2.827169418,,,,,,,,
seq-checkpoint,2.076568365,0.7072608471,2.859382629,,,,,,,,
1x1,2.087655306,1.066439152,3.229536057,,,,,,,,
2x2,2.094306946,1.130478144,3.300258398,,,,,,,,
4x4,2.212112188,1.578695297,3.866546631,,,,,,,,
8x8,2.348440409,2.587108374,5.011263847,,,,,,,,
16x16,3.062097311,5.637307405,8.774951458,,,,,,,,
,,,,,,,,,,,
3072x3072,,,,,,,,,,,
no-checkpoint,2.20873332,0.8500161171,3.227617741,,,,,,,,
seq-checkpoint,2.15034914,0.8334686756,3.152557611,,,,,,,,
1x1,2.241396904,1.559499025,3.969946384,,,,,,,,
2x2,2.246018887,1.695162058,4.110272646,,,,,,,,
4x4,2.287290335,2.12379384,4.58166337,,,,,,,,
8x8,2.469768286,3.577410221,6.216807365,,,,,,,,
16x16,3.018044949,7.348318577,10.5358777,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4096x4096,,,,,,,,,,,
no-checkpoint,OOM,,,,,,,,,,
seq-checkpoint,2.251425266,1.075838327,3.625760078,,,,,,,,
1x1,OOM,,,,,,,,,,
2x2,2.382965088,2.574737549,5.257191658,,,,,,,,
4x4,2.453975201,3.008203983,5.762270451,,,,,,,,
8x8,2.56621623,4.560920715,7.426665545,,,,,,,,
16x16,3.15451932,9.123214483,12.5777123,,,,,,,,
